Site_ID,Site,C_DEM,C_Slope,C_Acos,C_Asin,C_Rusle,C_RusLog,C_FlDep,C_FlDist,C_x,C_y
SITE_0057,Dolmen Slavova Koriya,0.495760827385000,-0.310122431851000,0.232872264267000,-1.202283529220000,0.049240994745200,0.769684285285000,-0.044811071419600,0.835302832360000,0.021910547835700,-0.029669273186000
SITE_0058,Dolmen Gaidarov dolap,0.076890673154700,-0.302299370286000,-0.411149111272000,-1.025902311800000,0.136654000718000,0.704279154123000,-0.044811071419600,0.863666187746000,0.021833071692200,-0.024419417797500
SITE_0059,Deaf Stones,0.748130806100000,1.362491052620000,-0.964583659782000,-0.010602411075000,-0.536443591130000,-1.185245132590000,-0.044811071419600,-0.240326398749000,0.003217411846480,-0.084236368973300
SITE_0060,Cromlech,-0.103898449729000,-0.844520976192000,1.335325999230000,0.050219129544700,-0.411171742317000,-0.488408380188000,-0.044811071419600,-0.599449050467000,-0.006071345062780,-0.092622631463000
SITE_0061,Mound Dolno Botevo,-0.241637928456000,-0.091474370080800,0.628044813320000,0.578818190829000,0.303119172088000,1.375474233670000,-0.044811071419600,0.329871852435000,-0.014502656266800,-0.078463961146900
SITE_0062,Kovan Kaya,-0.466413280433000,0.613658968498000,-0.370765025208000,1.136038515250000,-0.438900755109000,-0.620543206034000,-0.044811071419600,-0.860003830869000,-0.011972968528200,-0.104569789348000
SITE_0063,Kovan Kaya niches I,-0.389807812498000,2.702014291800000,-0.063776774084600,1.260967417610000,-0.527769917851000,-1.125603256360000,-0.044811071419600,-0.818152314491000,-0.011596663030400,-0.103163781245000
SITE_0064,Gledka mound I,-0.022000157760800,-0.416483031738000,0.769371506884000,0.315832134638000,0.077235379654400,0.855231744609000,-0.044811071419600,0.414687499296000,-0.015656383959500,-0.076507805951000
SITE_0065,Gledka mound II,-0.011954863747500,-0.197867584378000,0.627702665258000,-0.150058501379000,-0.034936326390200,0.634869166223000,-0.044811071419600,0.408456660870000,-0.015784664880100,-0.076495484160000
SITE_0066,Furnadzhika,0.156476092565000,-0.109193678826000,-0.783032604235000,-0.566043047821000,-0.392514397840000,-0.921242197291000,-0.044811071419600,-0.691046274824000,-0.002530622453750,-0.094837030514900
SITE_0067,Dolmen Gorno Voyvodino,0.087264282341700,-0.418908241488000,0.026243704172200,-0.614414231740000,-0.028222394767900,0.648998238790000,-0.044811071419600,0.321035250744000,-0.022644710846000,-0.074671796167900
SITE_0068,Dolmen Nachovi chairi,0.046076784334200,0.047163698394900,-0.750470408003000,0.782520050495000,0.050195516416700,0.804964194718000,-0.044811071419600,0.954472509222000,0.021152467786800,-0.023493786762400
