Cluster,Run_ID,Criterion_Row,Criterion_Column,Direction,Base_IOI,Perturbed_IOI,Site_ID,Site,Excluded_Criteria,Baseline_Applicable_Weight_Sum,Alternative_Applicable_Weight_Sum,Baseline_WLC,Alternative_WLC,Baseline_Class,Alternative_Class,Class_Changed
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0068,Dolmen Nachovi chairi,,1.0,1.0,4.969595114413823,5.049791298058283,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0069,Rodostitsa Fortress,,1.0,1.0,5.732100234267152,5.820731184967069,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0070,Villa Armira,,1.0,1.0,4.7740615769364965,4.934717530695899,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0071,Castra Rubra,,1.0,1.0,5.290171398603066,5.382228973419262,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0072,Kapitan Petko Voyvoda mound I,,1.0,1.0,6.144426890661605,6.295857317954101,High,High,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0073,Sanctuary of Nymphs and Aphrodite,,1.0,1.0,6.47804931962838,6.495973199621226,High,High,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0074,Fortress Klokotnitsa,,1.0,1.0,5.701695348680975,5.726999649847345,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0075,Fortified ruling house,,1.0,1.0,4.7100765214903815,4.870205302308817,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0080,Bukelon Fortress,,1.0,1.0,5.6220176448024555,5.775293177388333,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0081,Matochina Rock Church,,1.0,1.0,5.948893353184278,6.037260717413712,Moderate,High,True
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0082,Merichleri mound I,Soil Erosion,0.9119060157463934,0.912828568393084,7.272230500322014,7.287548297027387,High,High,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0083,Merichleri mound II,Soil Erosion,0.9119060157463934,0.912828568393084,7.272230500322014,7.287548297027387,High,High,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0084,Merichleri mound III,Soil Erosion,0.9119060157463934,0.912828568393084,7.272230500322014,7.287548297027387,High,High,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0085,Mezek Tumulus,,1.0,1.0,6.308160775313747,6.3946830342498,High,High,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0086,Neutzikon Fortress,,1.0,1.0,5.609563560947385,5.6997760304702,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0088,Dolmen Bayamluka,,1.0,1.0,5.204931095984519,5.2202191112725345,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0089,Orlovo Town,,1.0,1.0,5.361773495521619,5.453831070337815,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0090,Dolmen Kapakliyka II,,1.0,1.0,5.381119064491732,5.394561974486367,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0091,Mehir Stone Chuchul,,1.0,1.0,5.968830983076853,6.057198347306287,Moderate,High,True
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0094,Dolmen Plevun,,1.0,1.0,5.733495001506158,5.886770534092036,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0097,Dolmen Bakalov kladenets,,1.0,1.0,5.204931095984519,5.2202191112725345,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0098,Dolmen Byalata treva,,1.0,1.0,5.876699195343265,5.8864518947511355,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0099,Dolmen Kapakliyka I,,1.0,1.0,5.452721161410285,5.466164071404919,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0100,Dolmen Kliftinova niva,,1.0,1.0,5.700511226836051,5.712109031537304,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0101,Dolmen Paskalevi kelemeta,,1.0,1.0,5.452721161410285,5.466164071404919,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0103,Burdenis Fortress,,1.0,1.0,5.721766474008483,5.8096066652969505,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0104,Svilengrad mound necropolis,,1.0,1.0,6.68882127431795,6.772707668549171,High,High,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0105,Svirachi Golyamata Mogila,,1.0,1.0,5.9682389221543914,6.121514454740269,Moderate,High,True
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0108,Holy Trinity Monastery,,1.0,1.0,6.053479224772939,6.140001483708992,High,High,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0110,Dupchen Kamak,,1.0,1.0,4.537541473520878,4.605876265993601,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0111,Hambar Dere Necropolis,,1.0,1.0,5.452129100487822,5.6740030120169065,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0113,Patmos Fortress,,1.0,1.0,4.333794499381284,4.257024939853103,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0116,Church of St. John Prodomus,Soil Erosion,0.9119060157463934,0.912828568393084,3.1343742350679324,3.132505881920189,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0117,Necropolis of St. John Prodomus,,1.0,1.0,3.625008289286342,3.621581665170062,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0118,Toplitsa,,1.0,1.0,4.290935529940036,4.231299090993252,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0119,Moryantsi tomb,,1.0,1.0,5.712965310691121,5.931149011633443,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0128,Vishegrad Fortress,,1.0,1.0,5.509218336551527,5.725820518670951,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0140,Church of St. Dimitar,Soil Erosion,0.9119060157463934,0.912828568393084,4.765242912718726,4.452755353019478,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0141,Peristera Fortress,Soil Erosion,0.9119060157463934,0.912828568393084,2.9334621389817706,2.7060603412831847,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0145,Emporion Pistiros,,1.0,1.0,3.7721089894872346,3.4927073307752314,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0146,Zhaba Mogila,,1.0,1.0,3.7935792163211177,3.6453118266744173,Low,Low,False
