Site_ID,Site,Cluster,Status,Intentional_NA_Criteria,Unexpected_Missing_Fields,Reason,Rusle_MTH,ELSUS_MTH,Material_general,SEIS_SCR,FWI_SCR,FLOOD_SCR,RUSLE_SCR,ELSUS_SCR,ASSET_SCR
SITE_0172,Hellenistic buildings,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Earthwork / early stone construction,9,5,1,,1,7
SITE_0173,Hisarya Kapia,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared stone masonry,9,5,5,,1,1
SITE_0174,Inner Fortress wall of Philippopolis,3,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared stone masonry,9,5,5,,1,1
SITE_0175,Minor Basilica,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared mixed masonry (stone + brick),9,5,3,,1,3
SITE_0176,Nebet Tepe,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared stone masonry,9,5,5,,1,1
SITE_0177,Outer Fortress wall of Philippopolis,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared stone masonry,9,5,5,,1,1
SITE_0178,Peristyle building and street intersection,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared stone masonry,9,5,3,,1,1
SITE_0179,Philippopolis Roman Baths I,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared stone masonry,9,5,3,,1,1
SITE_0180,Remains of Fortress wall of Philippopolis,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared stone masonry,9,5,3,,1,1
SITE_0181,Roman Forum of Philippopolis,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared stone masonry,9,5,1,,1,1
SITE_0182,Roman Stadium of Philippopolis,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared stone masonry,9,5,3,,1,1
SITE_0188,Church of St. Nicholas,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared mixed masonry (stone + brick),9,5,3,,1,3
SITE_0191,Dyadovo settlement,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared mixed masonry (stone + brick),3,5,1,,3,3
SITE_0200,Tell Karanovo,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Earthwork / earthen architecture,3,5,1,,1,9
SITE_0216,Bratya Daskalovi mound,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Earthwork (earthen burial mound),9,3,1,,3,7
SITE_0231,Tomb of Helvetia,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Earthwork (earthen burial mound),3,1,1,,3,7
SITE_0234,Tomb of Shushmanets,3,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Earthwork (earthen burial mound),3,1,1,,7,7
SITE_0237,Augusta Traiana Vereia,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared stone masonry,5,3,1,,1,1
SITE_0238,Neolithic dwellings,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Earthwork / earthen architecture,5,1,1,,7,9
SITE_0240,Roman mineral baths,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared stone masonry,3,1,1,,3,1
SITE_0243,Hisara Fortress,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Other excl.),Other excl.,Direct,Mortared stone masonry,9,9,3,,5,1
SITE_0244,Monastery of St. Athanasius the Great,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared mixed masonry (stone + brick),9,9,5,,3,3
SITE_0249,Dabilin Fortress,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared stone masonry,3,7,7,,1,1
