Cluster,Run_ID,Criterion_Row,Criterion_Column,Direction,Base_IOI,Perturbed_IOI,Base_CR,Alternative_CR,CR_Accepted,Weight_Seismic,Weight_Wildfire,Weight_Flood,Weight_Soil_Erosion,Weight_Landslide,Weight_Asset_Vulnerability,Sites_Analyzed,Sites_Changing_Class,Site_Class_Change_Pct,OCR_Chen,OCR_Note,Base_Very_Low,Base_Low,Base_Moderate,Base_High,Base_Very_High,Alt_Very_Low,Alt_Low,Alt_Moderate,Alt_High,Alt_Very_High
1,C1_R19,Flood,Soil Erosion,down,1/5,1/6,0.07448249102972336,0.08232737987840102,True,0.29269737467133844,0.29269737467133844,0.030039408976505404,0.09260623621379654,0.12309487103072864,0.16886473443629252,178,0,0.0,0.0,,11,77,73,17,0,11,77,73,17,0
1,C1_R20,Flood,Soil Erosion,up,1/5,1/4,0.07448249102972336,0.06708590193616101,True,0.29505401663895914,0.29505401663895914,0.03144514077396561,0.08325706594889394,0.12470994829682913,0.170479811702393,178,0,0.0,0.0,,11,77,73,17,0,11,77,73,17,0
1,C1_R21,Flood,Landslide,down,1/5,1/6,0.07448249102972336,0.07766851522418416,True,0.2927521721944904,0.2927521721944904,0.02993590254388505,0.08721467059356616,0.12842555051412352,0.16891953195944448,178,0,0.0,0.0,,11,77,73,17,0,11,77,73,17,0
1,C1_R22,Flood,Landslide,up,1/5,1/4,0.07448249102972336,0.07245017417793498,True,0.2949726955189525,0.2949726955189525,0.03159819012315825,0.08902692088838239,0.11903100736816803,0.17039849058238637,178,1,0.5617977528089888,0.072522159548751,,11,77,73,17,0,11,77,72,18,0
1,C1_R23,Flood,Asset Vulnerability,down,1/5,1/6,0.07448249102972336,0.07369852747658674,True,0.2928719442059668,0.2928719442059668,0.02976376801559464,0.08722797859484131,0.12302902705411763,0.17423533792351287,178,0,0.0,0.0,,11,77,73,17,0,11,77,73,17,0
1,C1_R24,Flood,Asset Vulnerability,up,1/5,1/4,0.07448249102972336,0.07712920712872988,True,0.29479552816408705,0.29479552816408705,0.031851608970311446,0.08900723562673069,0.12480828408600698,0.1647418149887768,178,1,0.5617977528089888,0.02668564312399929,,11,77,73,17,0,11,76,74,17,0
1,C1_R25,Soil Erosion,Landslide,down,1/3,1/4,0.07448249102972336,0.09032973602630445,True,0.2915669745411802,0.2915669745411802,0.03048156934651639,0.08591779005519252,0.1330907801488646,0.16737591136706614,178,0,0.0,0.0,,11,77,73,17,0,11,77,73,17,0
1,C1_R26,Soil Erosion,Landslide,up,1/3,1/2,0.07448249102972336,0.05937215311313097,True,0.29622139550338716,0.29622139550338716,0.030791864077330186,0.09164282420353032,0.11309218838309214,0.17203033232927312,178,2,1.1235955056179776,0.145044319097502,,11,77,73,17,0,11,77,71,19,0
1,C1_R27,Soil Erosion,Asset Vulnerability,down,1/3,1/4,0.07448249102972336,0.08236435843095452,True,0.29186894567929866,0.29186894567929866,0.03050170075572429,0.08549598299438244,0.12130312429082798,0.178961300600468,178,1,0.5617977528089888,0.072522159548751,,11,77,73,17,0,11,77,72,18,0
1,C1_R28,Soil Erosion,Asset Vulnerability,up,1/3,1/2,0.07448249102972336,0.06953702007601563,True,0.2956421198376667,0.2956421198376667,0.03075324569961549,0.0924402209038835,0.1268533338210851,0.15866895990008256,178,1,0.5617977528089888,0.02668564312399929,,11,77,73,17,0,11,76,74,17,0
1,C1_R29,Landslide,Asset Vulnerability,down,1/3,1/4,0.07448249102972336,0.08976339746846107,True,0.29042071267814235,0.29042071267814235,0.030405151888980533,0.08771229018533792,0.12081428711993998,0.18022684544945689,178,1,0.5617977528089888,0.072522159548751,,11,77,73,17,0,11,77,72,18,0
1,C1_R30,Landslide,Asset Vulnerability,up,1/3,1/2,0.07448249102972336,0.05992990398855784,True,0.2975164991762502,0.2975164991762502,0.030878204322187727,0.08850071090734991,0.12886606247602098,0.15672202394194096,178,3,1.6853932584269662,0.02668564312399929,,11,77,73,17,0,11,78,72,17,0
2,C2_R01,Seismic,Wildfire,down,3,2,0.06013656358610097,0.05286742984142299,True,0.2531529105592385,0.15584317912181478,0.03806156358824277,0.03806156358824277,0.4322939541312585,0.08258682901120276,41,1,2.4390243902439024,0.15948275862068967,,0,4,29,8,0,0,4,28,9,0
2,C2_R02,Seismic,Wildfire,up,3,4,0.06013656358610097,0.06950456521613621,True,0.27886149315840963,0.14437112895950902,0.037602462655543775,0.037602462655543775,0.41980801922050776,0.08175443335048604,41,2,4.878048780487805,0.31896551724137934,,0,4,29,8,0,0,4,31,6,0
2,C2_R03,Seismic,Flood,down,7,6,0.06013656358610097,0.06126237318612923,True,0.2622080860023677,0.1501493856443896,0.03893163472824781,0.03811223125397707,0.4275623765360496,0.08303628583496822,41,0,0.0,0.0,,0,4,29,8,0,0,4,29,8,0
2,C2_R04,Seismic,Flood,up,7,8,0.06013656358610097,0.05986880232826059,True,0.27236182524202923,0.14735039051171636,0.03695530185033316,0.03757518779132002,0.42440040584923694,0.08135688875536429,41,0,0.0,0.0,,0,4,29,8,0,0,4,29,8,0
2,C2_R05,Seismic,Soil Erosion,down,7,6,0.06013656358610097,0.06126237318612923,True,0.2622080860023677,0.1501493856443896,0.03811223125397707,0.03893163472824781,0.4275623765360496,0.08303628583496822,41,0,0.0,0.0,,0,4,29,8,0,0,4,29,8,0
2,C2_R06,Seismic,Soil Erosion,up,7,8,0.06013656358610097,0.05986880232826059,True,0.27236182524202923,0.14735039051171636,0.03757518779132002,0.03695530185033316,0.42440040584923694,0.08135688875536429,41,0,0.0,0.0,,0,4,29,8,0,0,4,29,8,0
2,C2_R07,Seismic,Landslide,down,1/3,1/4,0.06013656358610097,0.07249798631739461,True,0.2555770535010179,0.14742600380656268,0.037493201240067504,0.037493201240067504,0.4403239881842293,0.0816865520280552,41,0,0.0,0.0,,0,4,29,8,0,0,4,29,8,0
