Site_ID,Site,Cluster_3,SEIS_SCR,FLOOD_SCR,FWI_SCR,ELSUS_SCR,RUSLE_SCR,ASSET_SCR,WLC_RISK,RISK_CLASS
SITE_0193,Kaloyanovo Mound II,1,3,1,3,5,3,7,3.865181313239670,Low
SITE_0194,Kaloyanovo Mound III,1,3,1,3,5,5,7,4.041369281746882,Moderate
SITE_0195,Kaloyanovo Tumulus,1,3,1,3,5,5,7,4.041369281746882,Moderate
SITE_0196,Kamen mogila,1,3,1,7,7,3,7,5.288395215835680,Moderate
SITE_0197,Kota 255,1,3,1,5,9,5,1,4.106671954472856,Moderate
SITE_0198,Prehistoric Wide Mound,1,3,1,5,5,5,9,4.968410992568899,Moderate
SITE_0199,Roman Karanovo mound,1,3,1,5,5,3,7,4.452893231824791,Moderate
SITE_0200,Tell Karanovo,1,3,1,5,1,,9,4.421904089698162,Moderate
SITE_0201,Boz Bair,1,3,1,7,3,1,7,4.616627116476935,Moderate
SITE_0202,Boz Bair mound I,1,3,1,7,3,5,7,4.969003053491361,Moderate
SITE_0203,Boz Bair mound II,1,3,1,7,5,5,7,5.216793118917128,Moderate
SITE_0204,Tuida Fortress,1,3,1,1,7,7,1,2.859646020384059,Low
SITE_0205,Sokol Himitliyata,1,3,1,5,1,1,7,3.781125132466046,Low
SITE_0206,Staro Selo Mogila,1,3,1,7,5,7,7,5.392981087424340,Moderate
SITE_0207,Tvarditsa Fortress,3,3,1,1,9,3,1,5.345107352876498,Moderate
SITE_0208,Gela Basilica,2,7,1,1,9,3,3,6.252735616926454,High
SITE_0209,Gradishte Fortress,2,5,1,1,9,5,1,5.629053863616217,Moderate
SITE_0210,Momchilova Fortress,2,5,1,1,7,5,1,4.777135957777514,Moderate
SITE_0211,Kaleto Fortress Koshnitsa,2,5,1,1,7,1,1,4.625797599762899,Moderate
SITE_0212,Uleya Cave,3,5,1,1,5,5,5,4.415954559683750,Moderate
SITE_0213,St. Ilia Fortress,2,5,1,1,7,5,1,4.777135957777514,Moderate
SITE_0214,Yagodinska Cave,3,5,1,1,5,1,5,3.984586861529148,Low
SITE_0215,Tyovnata dupka,2,7,1,1,7,5,5,5.640815881289210,Moderate
SITE_0216,Bratya Daskalovi mound,1,9,1,3,3,,7,5.610495996806000,Moderate
SITE_0217,Momina Mogila,1,9,1,3,5,5,7,5.804505037502249,Moderate
SITE_0218,Buzovo Kale,2,3,3,1,7,1,1,4.166444837646812,Moderate
SITE_0219,Thracian domed tomb,1,3,5,1,7,5,7,3.823984101907293,Low
SITE_0220,Pizus Fortress,1,9,1,5,1,3,1,4.702459480017946,Moderate
SITE_0221,Tomb of Kazanlak,2,3,1,1,5,1,7,3.731844726383254,Low
SITE_0222,Kran Fortress,3,3,1,1,7,5,1,4.638659065684593,Moderate
SITE_0223,Kesteleva Mogila,1,3,1,1,5,1,7,3.101281426147334,Low
SITE_0224,Malak Dol mound,1,9,1,3,3,3,7,5.380527003569269,Moderate
SITE_0225,Karasura,1,9,1,5,1,1,1,4.526271511510732,Moderate
SITE_0226,Tomb of Sashnova,1,3,1,1,1,5,7,2.958077232310229,Low
SITE_0227,Golyama Arsenalka tomb,1,3,1,1,1,1,7,2.605701295295803,Low
SITE_0228,Mezideva Fortress,2,3,1,1,7,1,1,4.090775658639505,Moderate
SITE_0229,Ostrusha tomb,3,3,1,1,3,5,7,3.182193800465166,Low
SITE_0230,Sarafova Mogila,1,3,1,1,3,1,7,2.853491360721569,Low
SITE_0231,Tomb of Helvetia,1,3,1,1,3,,7,3.032546478163639,Low
SITE_0232,Tomb of Malka Kosmatka,1,3,1,1,3,5,7,3.205867297735995,Low
SITE_0233,Tomb of Seuthes III,1,3,1,1,3,5,7,3.205867297735995,Low
SITE_0234,Tomb of Shushmanets,3,3,1,1,7,,7,5.029656261296402,Moderate
SITE_0235,Tomb of Svetitzata,1,3,1,1,1,5,7,2.958077232310229,Low
SITE_0236,Tomb of The Griffins,1,3,1,1,3,3,7,3.029679329228782,Low
SITE_0237,Augusta Traiana Vereia,1,5,1,3,1,,1,2.933462138981770,Low
SITE_0238,Neolithic dwellings,1,5,1,1,7,,9,4.592599616434840,Moderate
SITE_0239,Bereket Mound,1,5,1,1,1,1,9,3.532743006117818,Low
SITE_0240,Roman mineral baths,1,3,1,1,3,,1,1.916215015126346,Very Low
SITE_0241,Fortress Zemlen,1,7,1,9,1,3,1,5.290171398603068,Moderate
SITE_0242,Cheir maj Kaleto,1,9,5,9,3,3,1,6.248210055933721,High
SITE_0243,Hisara Fortress,1,9,3,9,5,,1,6.766541425750199,High
SITE_0244,Monastery of St. Athanasius the Great,1,9,5,9,3,,3,6.934111395497506,High
SITE_0245,Kaleto Fortress Bolyarovo,1,1,1,9,3,1,1,3.598637739766253,Low
SITE_0246,Ancient Kabile,1,3,5,7,3,1,1,3.721174413086020,Low
SITE_0247,Roman residence,1,1,1,9,1,5,1,3.703223611354913,Low
SITE_0248,Malkoto Kale Fortress,1,1,1,9,5,1,1,3.846427805192019,Low
SITE_0249,Dabilin Fortress,1,3,7,7,1,,1,3.779510871244258,Low
SITE_0250,Zaychi Vrah,3,3,3,7,7,5,1,5.362049483997320,Moderate
