Site_ID,Site,Cluster_3,SEIS_SCR,FWI_SCR,FLOOD_SCR,RUSLE_SCR,ELSUS_SCR,ASSET_SCR,Rusle_MTH,ELSUS_MTH,Material_general,WLC_RISK2
SITE_0069,Rodostitsa Fortress,1,7,9,5,1,5,1,Direct,Direct,Mortared stone masonry,5.732100
SITE_0070,Villa Armira,1,5,9,1,1,3,1,Direct,Direct,Mortared stone masonry,4.774062
SITE_0071,Castra Rubra,1,7,9,1,3,1,1,Direct,Direct,Mortared stone masonry,5.290171
SITE_0072,Kapitan Petko Voyvoda mound I,1,5,9,1,5,3,7,Direct,Direct,Earthwork (earthen burial mound),6.144427
SITE_0073,Sanctuary of Nymphs and Aphrodite,1,9,9,1,7,3,1,Direct,Direct,Mortared stone masonry,6.478049
SITE_0074,Fortress Klokotnitsa,1,9,9,1,1,1,1,Direct,Direct,Mortared stone masonry,5.701695
SITE_0075,Fortified ruling house,1,5,9,7,1,1,1,Direct,Direct,Mortared stone masonry,4.710077
SITE_0076,Dolmen Mangura,2,7,7,1,1,5,5,Direct,Direct,Dry stone masonry,5.529738
SITE_0077,Dolmen Starite Loza,2,7,7,1,1,5,5,Direct,Direct,Dry stone masonry,5.529738
SITE_0078,Hambar Kaya II,3,7,9,5,1,7,5,Direct,Direct,Rock-cut / bedrock construction,6.363027
SITE_0079,Deaf Stones Church,2,7,9,1,1,7,3,Direct,Direct,Mortared mixed masonry (stone + brick),6.514720
SITE_0080,Bukelon Fortress,1,5,9,1,5,7,1,Direct,Direct,Mortared stone masonry,5.622018
SITE_0081,Matochina Rock Church,1,7,9,1,1,5,3,Direct,Direct,Mortared mixed masonry (stone + brick),5.948893
SITE_0082,Merichleri mound I,1,9,9,1,,1,7,Other excl.,Direct,Earthwork (earthen burial mound),7.272231
SITE_0083,Merichleri mound II,1,9,9,1,,1,7,Other excl.,Direct,Earthwork (earthen burial mound),7.272231
SITE_0084,Merichleri mound III,1,9,9,1,,1,7,Other excl.,Direct,Earthwork (earthen burial mound),7.272231
SITE_0085,Mezek Tumulus,1,7,9,1,3,1,7,Direct,Direct,Earthwork (earthen burial mound),6.308161
SITE_0086,Neutzikon Fortress,1,7,9,1,1,5,1,Direct,Direct,Mortared stone masonry,5.609564
SITE_0087,Mihalich Rock Church,3,7,9,1,7,3,3,Direct,Direct,Mortared mixed masonry (stone + brick),4.883870
SITE_0088,Dolmen Bayamluka,1,7,7,1,1,1,5,Direct,Direct,Dry stone masonry,5.204931
SITE_0089,Orlovo Town,1,7,9,1,1,3,1,Direct,Direct,Mortared stone masonry,5.361773
SITE_0090,Dolmen Kapakliyka II,1,7,7,1,3,1,5,Direct,Direct,Dry stone masonry,5.381119
SITE_0091,Mehir Stone Chuchul,1,7,9,1,3,1,5,Direct,Direct,Rock-cut / bedrock construction,5.968831
SITE_0092,Ak Kaya,3,3,9,5,9,7,5,Direct,Direct,Rock-cut / bedrock construction,6.343973
SITE_0093,Kara inn,3,3,9,5,9,7,5,Direct,Direct,Rock-cut / bedrock construction,6.343973
SITE_0094,Dolmen Plevun,1,5,9,1,7,1,5,Direct,Direct,Dry stone masonry,5.733495
SITE_0095,Kovan Kaya niches II,2,3,9,3,1,7,5,Direct,Direct,Rock-cut / bedrock construction,5.684674
SITE_0096,Efraim Fortress,3,3,9,5,5,9,1,Direct,Direct,Mortared stone masonry,6.576204
SITE_0097,Dolmen Bakalov kladenets,1,7,7,1,1,1,5,Direct,Direct,Dry stone masonry,5.204931
SITE_0098,Dolmen Byalata treva,1,7,7,1,3,5,5,Direct,Direct,Dry stone masonry,5.876699
SITE_0099,Dolmen Kapakliyka I,1,7,7,1,1,3,5,Direct,Direct,Dry stone masonry,5.452721
SITE_0100,Dolmen Kliftinova niva,1,7,7,1,1,5,5,Direct,Direct,Dry stone masonry,5.700511
SITE_0101,Dolmen Paskalevi kelemeta,1,7,7,1,1,3,5,Direct,Direct,Dry stone masonry,5.452721
SITE_0102,Dolmen Sakartsi,2,7,7,1,1,1,5,Direct,Direct,Dry stone masonry,3.825902
SITE_0103,Burdenis Fortress,1,7,9,7,3,3,1,Direct,Direct,Mortared stone masonry,5.721766
SITE_0104,Svilengrad mound necropolis,1,7,9,3,1,5,7,Direct,Direct,Earthwork (earthen burial mound),6.688821
SITE_0105,Svirachi Golyamata Mogila,1,5,9,1,3,3,7,Direct,Direct,Earthwork (earthen burial mound),5.968239
SITE_0106,Paleokastro Fortress,2,5,7,1,1,5,1,Direct,Direct,Mortared stone masonry,4.666058
SITE_0107,Paparimsko Kale,2,7,7,1,1,3,1,Direct,Direct,Mortared stone masonry,4.349162
SITE_0108,Holy Trinity Monastery,1,7,9,1,5,3,3,Direct,Direct,Mortared mixed masonry (stone + brick),6.053479
SITE_0109,Orlovi Skali,3,3,5,1,3,7,5,Direct,Direct,Rock-cut / bedrock construction,5.112876
SITE_0110,Dupchen Kamak,1,3,5,1,5,7,5,Direct,Direct,Rock-cut / bedrock construction,4.537541
SITE_0111,Hambar Dere Necropolis,1,3,9,1,1,5,7,Direct,Direct,Earthwork (earthen burial mound),5.452129
SITE_0112,Chernichino mound,2,5,9,1,1,5,7,Direct,Direct,Earthwork (earthen burial mound),5.456438
SITE_0113,Patmos Fortress,1,5,3,5,9,7,1,Direct,Near≤400m,Mortared stone masonry,4.333794
SITE_0114,Duzhdovnitsa niches,3,5,3,1,9,5,5,Direct,Direct,Rock-cut / bedrock construction,5.063006
SITE_0115,Perperikon,2,5,9,1,1,7,1,Direct,Direct,Mortared stone masonry,5.815369
SITE_0116,Church of St. John Prodomus,1,3,3,7,,3,3,Urban excl.,Direct,Mortared mixed masonry (stone + brick),3.134374
SITE_0117,Necropolis of St. John Prodomus,1,3,3,7,1,3,7,Direct,Direct,Burial deposits / unspecified construction,3.625008
SITE_0118,Toplitsa,1,7,5,1,5,1,1,Direct,Direct,Mortared stone masonry,4.290936
SITE_0119,Moryantsi tomb,1,3,9,1,5,7,5,Direct,Direct,Rock-cut / bedrock construction,5.712965
