Site_ID,Site,WLC_RISK,GiZScore,GiPValue,NNeighbors,Gi_Bin,gi_class
SITE_0154,Church of the Holy Virgin of Petrich,6.319627,2.163010,0.030540398234,9,2,Hot spot with 95% confidence
SITE_0155,Stanimaka Fortress ruins,3.984051,1.907879,0.056406919289,9,1,Hot spot with 90% confidence
SITE_0156,Golyama Dragoyna,6.783614,3.494726,0.000474548252,9,3,Hot spot with 99% confidence
SITE_0157,Monastery of St. Cyril and St. Yulita,5.008253,1.806983,0.070764882955,9,1,Hot spot with 90% confidence
SITE_0158,Diocletionopolis,1.988379,-2.810744,0.004942705272,9,-3,Cold spot with 99% confidence
SITE_0159,Hisarya Basilica 1,2.661085,-2.810744,0.004942705272,9,-3,Cold spot with 99% confidence
SITE_0160,Hisarya Basilica 3,2.661085,-2.810744,0.004942705272,9,-3,Cold spot with 99% confidence
SITE_0161,Hisarya Basilica 8,2.661085,-2.810744,0.004942705272,9,-3,Cold spot with 99% confidence
SITE_0162,Hisarya Fortress walls,2.288975,-2.810744,0.004942705272,9,-3,Cold spot with 99% confidence
SITE_0163,Hisarya Roman Baths,1.988379,-2.810744,0.004942705272,9,-3,Cold spot with 99% confidence
SITE_0164,Stone of Tsar Asen,4.319627,0.836003,0.403153140798,9,0,Not statistically significant
SITE_0165,Monastery of Saints Cosmas and Damian,6.090610,1.806983,0.070764882955,9,1,Hot spot with 90% confidence
SITE_0166,Maltepe,5.079086,0.855102,0.392494816844,9,0,Not statistically significant
SITE_0167,Red Church,4.042553,1.334285,0.182110516214,9,0,Not statistically significant
SITE_0168,Ancient Theatre of Philippopolis,3.545834,0.833547,0.404536335050,9,0,Not statistically significant
SITE_0169,Domus Eirene,4.934111,1.028215,0.303848862674,9,0,Not statistically significant
SITE_0170,East Gate Philippopolis,5.001299,0.580642,0.561482028540,9,0,Not statistically significant
SITE_0171,Episcopal Great Basilica,5.239035,1.113679,0.265417033708,9,0,Not statistically significant
SITE_0172,Hellenistic buildings,5.983256,1.028215,0.303848862674,9,0,Not statistically significant
SITE_0173,Hisarya Kapia,5.001299,0.495178,0.620474820616,9,0,Not statistically significant
SITE_0174,Inner Fortress wall of Philippopolis,3.631401,0.495178,0.620474820616,9,0,Not statistically significant
SITE_0175,Minor Basilica,5.306222,0.934442,0.350075862555,9,0,Not statistically significant
SITE_0176,Nebet Tepe,5.001299,0.495178,0.620474820616,9,0,Not statistically significant
SITE_0177,Outer Fortress wall of Philippopolis,5.001299,0.580642,0.561482028540,9,0,Not statistically significant
SITE_0178,Peristyle building and street intersection,4.934111,1.028215,0.303848862674,9,0,Not statistically significant
SITE_0179,Philippopolis Roman Baths I,4.934111,0.802685,0.422157008898,9,0,Not statistically significant
SITE_0180,Remains of Fortress wall of Philippopolis,4.934111,1.028215,0.303848862674,9,0,Not statistically significant
SITE_0181,Roman Forum of Philippopolis,4.866924,1.028215,0.303848862674,9,0,Not statistically significant
SITE_0182,Roman Stadium of Philippopolis,4.934111,0.464315,0.642421896668,9,0,Not statistically significant
SITE_0183,Spas Bair hill,4.290936,1.526621,0.126855246522,9,0,Not statistically significant
SITE_0184,Belintash,6.417065,2.616711,0.008878144819,9,3,Hot spot with 99% confidence
SITE_0185,Chetinyova Mogila,5.683037,-2.810744,0.004942705272,9,-3,Cold spot with 99% confidence
SITE_0186,Horizon mound,3.193413,-2.810744,0.004942705272,9,-3,Cold spot with 99% confidence
SITE_0187,Royal tomb,4.465347,-2.810744,0.004942705272,9,-3,Cold spot with 99% confidence
SITE_0188,Church of St. Nicholas,5.306222,1.043646,0.296649298467,9,0,Not statistically significant
SITE_0189,Chintulovo mound,3.029679,-0.303932,0.761179784765,9,0,Not statistically significant
SITE_0190,Nanchovata Mogila,3.267136,-0.959537,0.337288315924,9,0,Not statistically significant
SITE_0191,Dyadovo settlement,3.577300,0.064761,0.948364500649,9,0,Not statistically significant
SITE_0192,Kaloyanovo Mound I,3.865181,-0.807823,0.419192637089,9,0,Not statistically significant
SITE_0193,Kaloyanovo Mound II,3.865181,-0.807823,0.419192637089,9,0,Not statistically significant
SITE_0194,Kaloyanovo Mound III,4.041369,-0.807823,0.419192637089,9,0,Not statistically significant
SITE_0195,Kaloyanovo Tumulus,4.041369,-0.807823,0.419192637089,9,0,Not statistically significant
SITE_0196,Kamen mogila,5.288395,-0.807823,0.419192637089,9,0,Not statistically significant
SITE_0197,Kota 255,4.106672,0.464433,0.642337905871,9,0,Not statistically significant
SITE_0198,Prehistoric Wide Mound,4.968411,0.434962,0.663589960517,9,0,Not statistically significant
SITE_0199,Roman Karanovo mound,4.452893,0.464433,0.642337905871,9,0,Not statistically significant
SITE_0200,Tell Karanovo,4.421904,0.434962,0.663589960517,9,0,Not statistically significant
SITE_0201,Boz Bair,4.616627,-0.231903,0.816613388438,9,0,Not statistically significant
SITE_0202,Boz Bair mound I,4.969003,-0.231903,0.816613388438,9,0,Not statistically significant
SITE_0203,Boz Bair mound II,5.216793,-0.231903,0.816613388438,9,0,Not statistically significant
SITE_0204,Tuida Fortress,2.859646,-0.966641,0.333723465798,9,0,Not statistically significant
SITE_0205,Sokol Himitliyata,3.781125,0.360192,0.718703225255,9,0,Not statistically significant
SITE_0206,Staro Selo Mogila,5.392981,-0.084733,0.932473882852,9,0,Not statistically significant
SITE_0207,Tvarditsa Fortress,5.345107,-0.052216,0.958356284490,9,0,Not statistically significant
SITE_0208,Gela Basilica,6.252736,1.248341,0.211906190293,9,0,Not statistically significant
SITE_0209,Gradishte Fortress,5.629054,1.248341,0.211906190293,9,0,Not statistically significant
SITE_0210,Momchilova Fortress,4.777136,2.336968,0.019440851566,9,2,Hot spot with 95% confidence
SITE_0211,Kaleto Fortress Koshnitsa,4.625798,1.237330,0.215964755581,9,0,Not statistically significant
SITE_0212,Uleya Cave,4.415955,1.237330,0.215964755581,9,0,Not statistically significant
SITE_0213,St. Ilia Fortress,4.777136,1.336463,0.181397910172,9,0,Not statistically significant
SITE_0214,Yagodinska Cave,3.984587,1.336463,0.181397910172,9,0,Not statistically significant
SITE_0215,Tyovnata dupka,5.640816,2.036000,0.041750377868,9,2,Hot spot with 95% confidence
SITE_0216,Bratya Daskalovi mound,5.610496,1.488271,0.136679537682,9,0,Not statistically significant
SITE_0217,Momina Mogila,5.804505,2.483217,0.013020172416,9,2,Hot spot with 95% confidence
SITE_0218,Buzovo Kale,4.166445,-1.672488,0.094428190480,9,-1,Cold spot with 90% confidence
SITE_0219,Thracian domed tomb,3.823984,-1.672488,0.094428190480,9,-1,Cold spot with 90% confidence
SITE_0220,Pizus Fortress,4.702459,4.052269,0.000050723216,9,3,Hot spot with 99% confidence
SITE_0221,Tomb of Kazanlak,3.731845,-1.672488,0.094428190480,9,-1,Cold spot with 90% confidence
SITE_0222,Kran Fortress,4.638659,-1.752786,0.079638782038,9,-1,Cold spot with 90% confidence
SITE_0223,Kesteleva Mogila,3.101281,-1.672488,0.094428190480,9,-1,Cold spot with 90% confidence
SITE_0224,Malak Dol mound,5.380527,1.488271,0.136679537682,9,0,Not statistically significant
SITE_0225,Karasura,4.526272,3.081442,0.002060008545,9,3,Hot spot with 99% confidence
SITE_0226,Tomb of Sashnova,2.958077,-2.439389,0.014712130468,9,-2,Cold spot with 95% confidence
SITE_0227,Golyama Arsenalka tomb,2.605701,-2.439389,0.014712130468,9,-2,Cold spot with 95% confidence
SITE_0228,Mezideva Fortress,4.090776,-1.752786,0.079638782038,9,-1,Cold spot with 90% confidence
SITE_0229,Ostrusha tomb,3.182194,-1.752786,0.079638782038,9,-1,Cold spot with 90% confidence
SITE_0230,Sarafova Mogila,2.853491,-1.752786,0.079638782038,9,-1,Cold spot with 90% confidence
SITE_0231,Tomb of Helvetia,3.032546,-2.179237,0.029314032579,9,-2,Cold spot with 95% confidence
SITE_0232,Tomb of Malka Kosmatka,3.205867,-2.179237,0.029314032579,9,-2,Cold spot with 95% confidence
SITE_0233,Tomb of Seuthes III,3.205867,-2.439389,0.014712130468,9,-2,Cold spot with 95% confidence
SITE_0234,Tomb of Shushmanets,5.029656,-1.712320,0.086837711172,9,-1,Cold spot with 90% confidence
SITE_0235,Tomb of Svetitzata,2.958077,-1.752786,0.079638782038,9,-1,Cold spot with 90% confidence
SITE_0236,Tomb of The Griffins,3.029679,-2.439389,0.014712130468,9,-2,Cold spot with 95% confidence
SITE_0237,Augusta Traiana Vereia,2.933462,-1.258801,0.208102116676,9,0,Not statistically significant
SITE_0238,Neolithic dwellings,4.592600,-1.461918,0.143763754489,9,0,Not statistically significant
SITE_0239,Bereket Mound,3.532743,-1.177512,0.238991228942,9,0,Not statistically significant
SITE_0240,Roman mineral baths,1.916215,-1.723454,0.084806512261,9,-1,Cold spot with 90% confidence
SITE_0241,Fortress Zemlen,5.290171,-0.509544,0.610370657780,9,0,Not statistically significant
SITE_0242,Cheir maj Kaleto,6.248210,4.322234,0.000015445752,9,3,Hot spot with 99% confidence
SITE_0243,Hisara Fortress,6.766541,4.052269,0.000050723216,9,3,Hot spot with 99% confidence
SITE_0244,Monastery of St. Athanasius the Great,6.934111,4.052269,0.000050723216,9,3,Hot spot with 99% confidence
SITE_0245,Kaleto Fortress Bolyarovo,3.598638,0.460274,0.645319725026,9,0,Not statistically significant
SITE_0246,Ancient Kabile,3.721174,-0.690143,0.490103955694,9,0,Not statistically significant
SITE_0247,Roman residence,3.703224,0.250401,0.802277214516,9,0,Not statistically significant
SITE_0248,Malkoto Kale Fortress,3.846428,0.510252,0.609874998548,9,0,Not statistically significant
SITE_0249,Dabilin Fortress,3.779511,-0.596554,0.550805362420,9,0,Not statistically significant
SITE_0250,Zaychi Vrah,5.362049,-0.690143,0.490103955694,9,0,Not statistically significant
