Site_ID,Site,C_DEM,C_Slope,C_Acos,C_Asin,C_RusLog,C_FlDist,C_x,C_y,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7
SITE_0063,Kovan Kaya niches I,-0.389807812498,2.7020142918,-0.0637767740846,1.26096741761,-1.12560325636,-0.818152314491,-0.0115966630304,-0.103163781245,3,3,4,5,6
SITE_0064,Gledka mound I,-0.0220001577608,-0.416483031738,0.769371506884,0.315832134638,0.855231744609,0.414687499296,-0.0156563839595,-0.076507805951,1,1,1,1,1
SITE_0065,Gledka mound II,-0.0119548637475,-0.197867584378,0.627702665258,-0.150058501379,0.634869166223,0.40845666087,-0.0157846648801,-0.07649548416,1,1,1,1,1
SITE_0066,Furnadzhika,0.156476092565,-0.109193678826,-0.783032604235,-0.566043047821,-0.921242197291,-0.691046274824,-0.00253062245375,-0.0948370305149,2,2,3,4,5
SITE_0067,Dolmen Gorno Voyvodino,0.0872642823417,-0.418908241488,0.0262437041722,-0.61441423174,0.64899823879,0.321035250744,-0.022644710846,-0.0746717961679,1,1,1,1,1
SITE_0068,Dolmen Nachovi chairi,0.0460767843342,0.0471636983949,-0.750470408003,0.782520050495,0.804964194718,0.954472509222,0.0211524677868,-0.0234937867624,1,1,2,2,2
SITE_0069,Rodostitsa Fortress,-0.674011661816,-0.711856214637,0.0414228710825,1.21818721924,-1.23041600319,-0.846162653594,0.01475579999,-0.11673127344,1,1,2,2,2
SITE_0070,Villa Armira,-0.456627810735,-0.683142232099,-0.823486403729,-0.55590898592,-0.311908928912,-0.209468023864,0.0127089097949,-0.127503247756,1,1,2,2,2
SITE_0071,Castra Rubra,-0.419850040837,-0.570148495706,-0.407930889772,0.0692972632059,0.346280236364,-0.26825574181,0.0122351107851,-0.0458039610068,1,1,2,2,2
SITE_0072,Kapitan Petko Voyvoda mound I,-0.348799521853,0.127036833611,0.19032545151,-0.43383627988,0.515509163798,-0.465268478504,0.0340008527574,-0.0180037633327,1,1,2,2,2
SITE_0073,Sanctuary of Nymphs and Aphrodite,-0.583116623433,-0.380067039413,1.37585632571,0.0306359929891,1.63961026334,-0.247218602698,-0.0256609549601,-0.0312521348297,1,1,1,1,1
SITE_0074,Fortress Klokotnitsa,-0.415046526236,0.464444035744,-0.858744903122,0.505596862029,-1.10247814077,0.0891868894437,-0.0269330724425,-0.037019456463,1,1,2,2,2
SITE_0075,Fortified ruling house,-0.674660311947,-0.489915711485,-0.974651942955,-0.00478270961151,-0.415765443641,-0.865555168234,0.0383639798081,-0.0119626719275,1,1,2,2,2
SITE_0076,Dolmen Mangura,1.18809672001,-0.499928446652,0.0653924657541,-0.856641119512,-1.22365533708,0.578747630802,0.0240960739963,-0.032546334264,2,2,3,4,5
