Site_ID,Site,Cluster_best_silhouette
SITE_0186,Horizon mound,1
SITE_0187,Royal tomb,1
SITE_0188,Church of St. Nicholas,1
SITE_0189,Chintulovo mound,1
SITE_0190,Nanchovata Mogila,1
SITE_0191,Dyadovo settlement,1
SITE_0192,Kaloyanovo Mound I,1
SITE_0193,Kaloyanovo Mound II,1
SITE_0194,Kaloyanovo Mound III,1
SITE_0195,Kaloyanovo Tumulus,1
SITE_0196,Kamen mogila,1
SITE_0197,Kota 255,1
SITE_0198,Prehistoric Wide Mound,1
SITE_0199,Roman Karanovo mound,1
SITE_0200,Tell Karanovo,1
SITE_0201,Boz Bair,1
SITE_0202,Boz Bair mound I,1
SITE_0203,Boz Bair mound II,1
SITE_0204,Tuida Fortress,1
SITE_0205,Sokol Himitliyata,1
SITE_0206,Staro Selo Mogila,1
SITE_0207,Tvarditsa Fortress,3
SITE_0208,Gela Basilica,2
SITE_0209,Gradishte Fortress,2
SITE_0210,Momchilova Fortress,2
SITE_0211,Kaleto Fortress Koshnitsa,2
SITE_0212,Uleya Cave,3
SITE_0213,St. Ilia Fortress,2
SITE_0214,Yagodinska Cave,3
SITE_0215,Tyovnata dupka,2
SITE_0216,Bratya Daskalovi mound,1
SITE_0217,Momina Mogila,1
SITE_0218,Buzovo Kale,2
SITE_0219,Thracian domed tomb,1
SITE_0220,Pizus Fortress,1
SITE_0221,Tomb of Kazanlak,2
SITE_0222,Kran Fortress,3
SITE_0223,Kesteleva Mogila,1
SITE_0224,Malak Dol mound,1
SITE_0225,Karasura,1
SITE_0226,Tomb of Sashnova,1
SITE_0227,Golyama Arsenalka tomb,1
SITE_0228,Mezideva Fortress,2
SITE_0229,Ostrusha tomb,3
SITE_0230,Sarafova Mogila,1
SITE_0231,Tomb of Helvetia,1
SITE_0232,Tomb of Malka Kosmatka,1
SITE_0233,Tomb of Seuthes III,1
SITE_0234,Tomb of Shushmanets,3
SITE_0235,Tomb of Svetitzata,1
SITE_0236,Tomb of The Griffins,1
SITE_0237,Augusta Traiana Vereia,1
SITE_0238,Neolithic dwellings,1
SITE_0239,Bereket Mound,1
SITE_0240,Roman mineral baths,1
SITE_0241,Fortress Zemlen,1
SITE_0242,Cheir maj Kaleto,1
SITE_0243,Hisara Fortress,1
SITE_0244,Monastery of St. Athanasius the Great,1
SITE_0245,Kaleto Fortress Bolyarovo,1
SITE_0246,Ancient Kabile,1
SITE_0247,Roman residence,1
SITE_0248,Malkoto Kale Fortress,1
SITE_0249,Dabilin Fortress,1
SITE_0250,Zaychi Vrah,3
