Site_ID,Cluster_3,Site,Region,Location,Paleolithic,Paleolithic_class,Neolithic,Neolithic_class,Chalcolithic,Chalcolithic_class,Bronze_Age,Bronze_class,Iron_Age,Iron_class,Roman,Roman_class,Ear_Byz,Ear_Byz_class,F1st_Bul_Emp,F1st_Bul_Emp_class,F2nd_Bul_Emp,F2nd_Bul_Emp_class,Material_general,Exposure_class,Exposure_tx,Int_Status,Nat_Status,DEM_,Slope_,Aspect_cos_,Aspect_sin_,FL_Dist,FL_Depth,rusle_cluster,rusle_log,Rusle_MTH,Final_FWI,FWI_MTH,FWI_DIST,ELSUS,ELSUS_MTH,ELSUS_DIST,PGA,Lithology,CLC_code,CLC_text,SEIS_SCR,FLOOD_SCR,FWI_SCR,ELSUS_SCR,RUSLE_SCR,ASSET_SCR,WLC_RISK2,RISK_CLASS2,MC_Mean_WLC,MC_SD,MC_CV_Pct,MC_Min_WLC,MC_Max_WLC,Baseline_Class_Stability_Pct,Gi_Bin,gi_class
SITE_0011,1,Gradishte Fortress II,Burgas,Lozarevo,0,,0,,0,,0,,0,,0,,1,Fortress,1,Fortress,1,Fortress,Mortared stone masonry,1,Exposed,,Architectural-construction,232.114,2.648,-0.788097,-0.449197,16769.59,0.000,4.867862,1.769490,Direct,15.27,Direct,0.00,5,Direct,33.75,0.124780,Undifferentiated Sediment,211,Non-irrigated arable land,3,1,3,9,5,1,3.518960,Low,3.523220,0.048517,1.377,3.394746,3.647024,100.0,0,Not statistically significant
SITE_0012,2,Mishkova Niva,Burgas,Malko Tarnovo,0,,0,,0,,0,,1,Sanctuary,1,Temple,1,Church,0,,0,,Mortared mixed masonry (stone + brick),1,Exposed,,,452.130,8.786,-0.656961,-0.261371,12214.12,0.000,0.098425,0.093877,Direct,11.57,Direct,0.00,3,Near≤400m,356.69,0.076049,"Granitoid, Granite, Leucogranite, Granodiorite",313,Mixed forest,1,1,3,5,1,3,3.165558,Low,3.164709,0.057821,1.827,3.032624,3.306746,100.0,-3,Cold spot with 99% confidence
SITE_0013,1,Necropolis City of the dead,Burgas,Malko Tarnovo,0,,0,,0,,0,,1,Thracian mound,1,Necropolis,0,,0,,0,,Earthwork (earthen burial mound),3,Mostly subsurface,,,460.007,2.173,0.835671,0.095922,10448.61,0.000,0.078093,0.075193,Direct,11.57,Direct,0.00,4,Direct,84.71,0.076049,Metamorphic Complex,311,Broad-leaved forest,1,1,3,7,1,7,3.349071,Low,3.350134,0.059470,1.775,3.192231,3.508743,100.0,-3,Cold spot with 99% confidence
SITE_0014,1,Golyamoto Kale,Burgas,Mladezhko,0,,0,,0,,0,,1,Fortified settlement,0,,1,Fortress,0,,0,,Mortared stone masonry,1,Exposed,,Architectural-construction,298.114,2.881,0.221221,0.610573,19039.89,0.000,0.113493,0.107502,Direct,24.87,Direct,0.00,2,Direct,62.21,0.077612,Metamorphic Complex,311,Broad-leaved forest,1,1,5,3,1,1,2.423214,Low,2.423518,0.051617,2.130,2.296491,2.549081,100.0,-3,Cold spot with 99% confidence
SITE_0015,1,Church of Christ Pantokrator,Burgas,Nessebar,0,,0,,0,,0,,0,,0,,0,,0,,1,Church,Mortared mixed masonry (stone + brick),1,Exposed,UNESCO World Heritage,Architectural-Historical Reserve,13.973,4.558,0.609961,0.045116,26339.91,0.000,,0.839006,Urban excl.,8.70,Direct,0.00,,NoData>400m,976.77,0.095592,,112,Discontinuous urban fabric,1,1,3,,,3,2.176432,Low,2.176228,0.032312,1.485,2.085866,2.254815,100.0,-3,Cold spot with 99% confidence
SITE_0016,1,Church of St. John Aliturgetos,Burgas,Nessebar,0,,0,,0,,0,,0,,0,,0,,0,,1,Church,Mortared mixed masonry (stone + brick),1,Exposed,UNESCO World Heritage,Architectural-Historical Reserve,11.034,8.880,-0.919837,-0.169912,26374.25,0.000,,0.839006,Urban excl.,8.70,Direct,0.00,,NoData>400m,1006.73,0.095592,,112,Discontinuous urban fabric,1,1,3,,,3,2.176432,Low,2.176228,0.032312,1.485,2.085866,2.254815,100.0,-3,Cold spot with 99% confidence
SITE_0017,1,Church of St. John the Baptist,Burgas,Nessebar,0,,0,,0,,0,,0,,0,,0,,1,Church,0,,Mortared mixed masonry (stone + brick),1,Exposed,UNESCO World Heritage,Architectural-Historical Reserve,13.300,8.547,0.785353,0.156280,26394.67,0.000,,0.839006,Urban excl.,8.70,Direct,0.00,,NoData>400m,1028.98,0.095592,,112,Discontinuous urban fabric,1,1,3,,,3,2.176432,Low,2.176228,0.032312,1.485,2.085866,2.254815,100.0,-3,Cold spot with 99% confidence
SITE_0018,1,Church of St. Paraskeva,Burgas,Nessebar,0,,0,,0,,0,,0,,0,,0,,0,,1,Church,Mortared mixed masonry (stone + brick),1,Exposed,UNESCO World Heritage,,18.495,5.267,0.869215,0.283524,26509.50,0.000,,0.839006,Urban excl.,8.70,Direct,0.00,,NoData>400m,1141.30,0.095592,,112,Discontinuous urban fabric,1,1,3,,,3,2.176432,Low,2.176228,0.032312,1.485,2.085866,2.254815,100.0,-3,Cold spot with 99% confidence
SITE_0019,1,Church of St. Stefan,Burgas,Nessebar,0,,0,,0,,0,,0,,0,,0,,1,Church,0,,Mortared mixed masonry (stone + brick),1,Exposed,UNESCO World Heritage,,16.926,7.876,-0.101681,-0.939991,26351.23,0.000,,0.839006,Urban excl.,8.70,Direct,0.00,,NoData>400m,982.42,0.095592,,112,Discontinuous urban fabric,1,1,3,,,3,2.176432,Low,2.176228,0.032312,1.485,2.085866,2.254815,100.0,-3,Cold spot with 99% confidence
SITE_0020,1,Church of St. Theodore,Burgas,Nessebar,0,,0,,0,,0,,0,,0,,0,,0,,1,Church,Mortared mixed masonry (stone + brick),1,Exposed,UNESCO World Heritage,,21.439,5.413,-0.886258,-0.385406,26782.94,0.000,,0.839006,Urban excl.,8.70,Direct,0.00,,NoData>400m,1404.60,0.095592,,112,Discontinuous urban fabric,1,1,3,,,3,2.176432,Low,2.176228,0.032312,1.485,2.085866,2.254815,100.0,-3,Cold spot with 99% confidence
SITE_0021,1,Church of St. Vlahara,Burgas,Nessebar,0,,0,,0,,0,,0,,0,,0,,0,,1,Church,Mortared mixed masonry (stone + brick),1,Exposed,UNESCO World Heritage,Architectural-Historical Reserve,19.648,3.206,0.420235,-0.526537,26625.88,0.000,,0.839006,Urban excl.,8.70,Direct,0.00,,NoData>400m,1253.77,0.095592,,112,Discontinuous urban fabric,1,1,3,,,3,2.176432,Low,2.176228,0.032312,1.485,2.085866,2.254815,100.0,-3,Cold spot with 99% confidence
SITE_0022,1,Church of the Holy Archangels,Burgas,Nessebar,0,,0,,0,,0,,0,,0,,0,,0,,1,Church,Mortared mixed masonry (stone + brick),1,Exposed,UNESCO World Heritage,Architectural-Historical Reserve,15.809,5.685,0.626261,-0.635668,26482.34,0.000,,0.839006,Urban excl.,8.70,Direct,0.00,,NoData>400m,1105.94,0.095592,,112,Discontinuous urban fabric,1,1,3,,,3,2.176432,Low,2.176228,0.032312,1.485,2.085866,2.254815,100.0,-3,Cold spot with 99% confidence
SITE_0023,1,Fortification of Mesembria Pontica,Burgas,Nessebar,0,,0,,0,,0,,0,,0,,1,Fortress,1,Fortress,1,Fortress,Mortared stone masonry,1,Exposed,UNESCO World Heritage,Architectural-Historical Reserve,7.265,5.685,0.562773,-0.752342,26119.92,0.000,,0.839006,Urban excl.,8.70,Direct,0.00,,NoData>400m,768.03,0.100502,,112,Discontinuous urban fabric,3,1,3,,,1,2.491634,Low,2.492071,0.024382,0.978,2.427292,2.552300,100.0,-3,Cold spot with 99% confidence
SITE_0024,1,Foundations of Basilica Eliusa,Burgas,Nessebar,0,,0,,0,,0,,0,,1,Temple,1,Basilica,0,,0,,Mortared mixed masonry (stone + brick),1,Exposed,UNESCO World Heritage,Architectural-Historical Reserve,8.482,17.930,0.769305,0.611601,26751.65,0.000,,0.839006,Urban excl.,8.70,Direct,0.00,,NoData>400m,1337.08,0.095592,,112,Discontinuous urban fabric,1,1,3,,,3,2.176432,Low,2.176228,0.032312,1.485,2.085866,2.254815,100.0,-3,Cold spot with 99% confidence
SITE_0025,1,Mesembria Terms,Burgas,Nessebar,0,,0,,0,,0,,0,,0,,1,Infrastructure,0,,0,,Mortared stone masonry,1,Exposed,UNESCO World Heritage,Architectural-Historical Reserve,9.293,9.622,-0.354825,-0.876959,26407.07,0.000,,0.839006,Urban excl.,8.70,Direct,0.00,,NoData>400m,1039.05,0.095592,,112,Discontinuous urban fabric,1,1,3,,,1,1.745817,Very Low,1.745954,0.032093,1.838,1.668259,1.822434,100.0,-3,Cold spot with 99% confidence
SITE_0026,1,Mesembria West St. John,Burgas,Nessebar,0,,0,,0,,0,,1,Settlement,0,,0,,0,,0,,Earthwork / earthen architecture,1,Exposed,,,16.317,2.370,0.314367,0.537861,25519.19,0.000,,0.839006,Urban excl.,8.70,Direct,0.00,3,Near≤400m,119.77,0.100502,Undifferentiated Sediment,112,Discontinuous urban fabric,3,1,3,5,,9,4.320872,Moderate,4.320526,0.061194,1.416,4.169115,4.484339,100.0,-3,Cold spot with 99% confidence
SITE_0027,1,Stara Mitropolia,Burgas,Nessebar,0,,0,,0,,0,,0,,0,,1,Basilica,0,,0,,Mortared mixed masonry (stone + brick),1,Exposed,UNESCO World Heritage,Architectural-Historical Reserve,16.890,6.396,0.693303,0.508793,26554.20,0.000,,0.839006,Urban excl.,8.70,Direct,0.00,,NoData>400m,1186.63,0.095592,,112,Discontinuous urban fabric,1,1,3,,,3,2.176432,Low,2.176228,0.032312,1.485,2.085866,2.254815,100.0,-3,Cold spot with 99% confidence
SITE_0028,1,Anchialos Building,Burgas,Pomorie,0,,0,,0,,0,,0,,1,Villa,1,Villa,0,,1,Cemetery,Mortared stone masonry,1,Exposed,,,2.194,2.870,-0.793910,-0.298772,12321.05,0.000,0.732513,0.549573,Direct,12.60,Direct,0.00,1,Direct,29.28,0.096771,Undifferentiated Sediment,242,Complex cultivation patterns,1,1,3,1,1,1,1.587712,Very Low,1.587326,0.026512,1.670,1.520909,1.649735,100.0,-3,Cold spot with 99% confidence
SITE_0029,1,Anchialos Christian Church,Burgas,Pomorie,0,,0,,0,,0,,0,,1,Town,0,,1,Cemetery,0,,Mortared stone masonry,1,Exposed,,,1.641,4.513,0.400457,-0.137507,12950.14,0.000,,0.839006,Urban excl.,12.60,Direct,0.00,2,Near≤400m,156.83,0.096771,,112,Discontinuous urban fabric,1,1,3,3,,1,1.916215,Very Low,1.917118,0.028962,1.511,1.835917,1.993915,100.0,-3,Cold spot with 99% confidence
SITE_0030,1,Anchialos Church,Burgas,Pomorie,0,,0,,0,,0,,0,,0,,0,,1,Church,0,,Mortared mixed masonry (stone + brick),1,Exposed,,,4.183,3.109,-0.162521,-0.185799,12501.99,0.000,,0.839006,Urban excl.,12.60,Direct,0.00,2,Direct,81.44,0.096771,Undifferentiated Sediment,112,Discontinuous urban fabric,1,1,3,3,,3,2.288326,Low,2.288655,0.028676,1.253,2.212787,2.362112,100.0,-3,Cold spot with 99% confidence
SITE_0031,1,Anchialos Fortification,Burgas,Pomorie,0,,0,,0,,0,,0,,0,,1,Fortified town,1,Fortress,0,,Mortared stone masonry,1,Exposed,,,7.447,4.923,-0.078366,-0.552970,12950.24,0.000,,0.839006,Urban excl.,12.60,Direct,0.00,2,Direct,85.02,0.096771,Undifferentiated Sediment,112,Discontinuous urban fabric,1,1,3,3,,1,1.916215,Very Low,1.917118,0.028962,1.511,1.835917,1.993915,100.0,-3,Cold spot with 99% confidence
SITE_0032,1,Anchialos Necropolis,Burgas,Pomorie,0,,0,,0,,0,,0,,1,Necropolis,0,,0,,0,,Burial deposits / unspecified construction,3,Mostly subsurface,,,2.021,1.556,0.481710,-0.838113,13172.03,0.000,,0.839006,Urban excl.,12.60,Direct,0.00,2,Near≤400m,285.55,0.096771,,112,Discontinuous urban fabric,1,1,3,3,,7,3.032546,Low,3.031728,0.057069,1.882,2.893154,3.168938,100.0,-3,Cold spot with 99% confidence
SITE_0033,1,Pomorie tomb,Burgas,Pomorie,0,,0,,0,,0,,0,,1,Necropolis,0,,0,,0,,Mortared mixed masonry (stone + brick),3,Mostly subsurface,,Architectural-construction,23.160,12.977,-0.899843,-0.090699,11388.28,0.000,1.619239,0.962884,Direct,12.60,Direct,0.00,2,Near≤400m,301.14,0.096771,,222,Fruit trees and berry plantations,1,1,3,3,3,3,2.351020,Low,2.351414,0.026694,1.135,2.284981,2.420281,100.0,-3,Cold spot with 99% confidence
SITE_0034,1,Begliktash,Burgas,Primorsko,0,,0,,0,,1,Rock sanctuary,0,,0,,0,,0,,0,,Rock-cut / bedrock construction,2,Partially exposed,,Archaeological (single),127.380,2.476,-0.520827,-0.460007,22403.09,0.000,0.102385,0.097476,Direct,15.53,Nearest valid cell,23063.39,3,Direct,112.12,0.073701,Intermediate Volcanic,311,Broad-leaved forest,1,1,3,5,1,5,2.761952,Low,2.762531,0.040586,1.469,2.647811,2.869070,100.0,-3,Cold spot with 99% confidence
SITE_0035,1,Chengerska mound,Burgas,Primorsko,0,,0,,0,,0,,1,Thracian mound,0,,0,,0,,0,,Earthwork (earthen burial mound),3,Mostly subsurface,,,55.454,4.732,0.815789,-0.534225,21867.44,0.000,0.009605,0.009559,Direct,15.53,Nearest valid cell,20165.29,2,Direct,82.72,0.073701,Intermediate Volcanic,311,Broad-leaved forest,1,1,3,3,1,7,2.853491,Low,2.852402,0.051681,1.812,2.715738,2.987769,100.0,-3,Cold spot with 99% confidence
SITE_0036,1,Mound Stamopolu,Burgas,Primorsko,0,,0,,0,,0,,1,Thracian mound,0,,0,,0,,0,,Earthwork (earthen burial mound),3,Mostly subsurface,,Archaeological (single),7.461,9.135,0.354665,0.462229,22765.02,0.000,0.004295,0.004286,Direct,15.53,Nearest valid cell,21227.14,2,Direct,81.78,0.073701,Undifferentiated Sediment,311,Broad-leaved forest,1,1,3,3,1,7,2.853491,Low,2.852402,0.051681,1.812,2.715738,2.987769,100.0,-3,Cold spot with 99% confidence
SITE_0037,1,Oriospotamo,Burgas,Primorsko,0,,0,,0,,0,,0,,1,Town,1,Fortified town,0,,1,Fortified settlement,Mortared stone masonry,1,Exposed,,,17.593,7.238,0.222660,-0.964938,21494.96,0.000,,0.839006,Coastal excl.,15.53,Nearest valid cell,23164.87,,NoData>400m,406.30,0.073701,,523,Sea and ocean,1,1,3,,,1,1.745817,Very Low,1.745954,0.032093,1.838,1.668259,1.822434,100.0,-3,Cold spot with 99% confidence
SITE_0038,1,Ranuli Fortress,Burgas,Primorsko,0,,0,,0,,1,Enclosure,1,Hillfort,1,Fort,1,Fortress,1,Fortress,1,Fortress,Mortared stone masonry,1,Exposed,,,107.848,23.733,0.259684,-0.925804,20083.21,0.000,0.171619,0.158386,Direct,15.53,Nearest valid cell,20708.26,4,Direct,24.76,0.073701,Intermediate Volcanic,311,Broad-leaved forest,1,1,3,7,1,1,2.331082,Low,2.333924,0.043945,1.883,2.215976,2.455612,100.0,-3,Cold spot with 99% confidence
SITE_0039,1,Thera Fortress foundation,Burgas,Primorsko,0,,0,,0,,0,,1,Hillfort,1,Fort,0,,0,,0,,Mortared stone masonry,1,Exposed,,,17.009,8.218,-0.557934,-0.778805,24287.93,0.000,0.811798,0.594320,Direct,15.53,Nearest valid cell,24861.87,,NoData>400m,551.66,0.073701,,324,Transitional woodland-shrub,1,1,3,,1,1,1.670824,Very Low,1.670782,0.029517,1.767,1.599786,1.738986,100.0,-3,Cold spot with 99% confidence
SITE_0040,1,Rusokastro Fortress,Burgas,Rusokastro,0,,0,,0,,0,,0,,1,Fort,1,Fortress,1,Fortress,1,Fortress,Mortared stone masonry,1,Exposed,,Architectural-construction,102.364,12.987,-0.691910,0.482971,11748.03,0.000,0.488283,0.397623,Direct,21.27,Direct,0.00,4,Direct,66.54,0.096750,Intermediate Volcanic,321,Natural grasslands,1,1,5,7,1,1,2.918794,Low,2.921250,0.059407,2.034,2.754189,3.093938,100.0,-3,Cold spot with 99% confidence
SITE_0041,1,Apollonia Pontica Cape Skamni,Burgas,Sozopol,0,,0,,0,,0,,1,Sanctuary,0,,1,Basilica,1,Fortified settlement,0,,Mortared stone masonry,1,Exposed,,Architectural-Historical Reserve,12.443,11.546,0.387274,0.868729,12881.33,0.000,,0.839006,Coastal excl.,12.60,Nearest valid cell,18405.50,,NoData>400m,649.48,0.079626,Intermediate Volcanic,112,Discontinuous urban fabric,1,1,3,,,1,1.745817,Very Low,1.745954,0.032093,1.838,1.668259,1.822434,100.0,-3,Cold spot with 99% confidence
SITE_0042,1,Apollonia Pontica Chapel,Burgas,Sozopol,0,,0,,0,,0,,0,,0,,0,,0,,1,Church,Mortared mixed masonry (stone + brick),1,Exposed,,Architectural-Historical Reserve,6.478,7.077,0.503505,0.579181,12245.84,0.000,,0.839006,Urban excl.,12.60,Nearest valid cell,18149.44,4,Near≤400m,119.39,0.079626,Intermediate Volcanic,112,Discontinuous urban fabric,1,1,3,7,,3,2.831781,Low,2.834581,0.046637,1.645,2.718295,2.945790,100.0,-3,Cold spot with 99% confidence
SITE_0043,1,Fortification of St. John Monastery,Burgas,Sozopol,0,,0,,0,,0,,1,Fortified settlement,0,,0,,0,,0,,Earthwork / early stone construction,1,Exposed,,,0.000,2.880,-0.580375,-0.046959,10638.14,0.000,,0.839006,Coastal excl.,12.60,Nearest valid cell,17257.62,,NoData>400m,1795.14,0.079626,,523,Sea and ocean,1,1,3,,,7,3.037664,Low,3.036776,0.066109,2.177,2.874933,3.196662,100.0,-3,Cold spot with 99% confidence
SITE_0044,1,Island St. Kirik and St. Julita,Burgas,Sozopol,0,,0,,0,,0,,1,Fortified settlement,1,Town,1,Fortified town,0,,1,Fortified settlement,Mortared stone masonry,1,Exposed,,Architectural-historical reserve,16.232,9.583,-0.792900,0.249183,12958.11,0.000,,0.839006,Urban excl.,12.60,Nearest valid cell,17668.57,,NoData>400m,564.82,0.079626,,123,Port areas,1,1,3,,,1,1.745817,Very Low,1.745954,0.032093,1.838,1.668259,1.822434,100.0,-3,Cold spot with 99% confidence
SITE_0045,1,Mesarite,Burgas,Sozopol,0,,0,,0,,0,,1,Settlement,0,,0,,0,,0,,Earthwork / earthen architecture,1,Exposed,,,69.285,6.652,-0.287305,-0.956387,10999.44,0.000,0.011173,0.011111,Direct,12.60,Nearest valid cell,18401.94,4,Direct,48.24,0.079626,Intermediate Volcanic,242,Complex cultivation patterns,1,1,3,7,1,9,3.688401,Low,3.688871,0.073587,1.995,3.502716,3.883438,100.0,-3,Cold spot with 99% confidence
SITE_0046,1,Monastery of St. John the Baptist,Burgas,Sozopol,0,,0,,0,,0,,0,,0,,1,Monastery,1,Monastery,1,Monastery,Mortared mixed masonry (stone + brick),1,Exposed,,Archaeological Reserve (group),0.000,0.000,0.000000,0.000000,10638.14,0.000,,0.839006,Coastal excl.,12.60,Nearest valid cell,17278.47,,NoData>400m,1755.60,0.079626,,523,Sea and ocean,1,1,3,,,3,2.176432,Low,2.176228,0.032312,1.485,2.085866,2.254815,100.0,-3,Cold spot with 99% confidence
SITE_0047,1,Necropolis of Apollonia I,Burgas,Sozopol,0,,0,,0,,0,,1,Thracian mound,0,,0,,0,,0,,Earthwork (earthen burial mound),3,Mostly subsurface,,Architectural-Historical Reserve,28.989,4.872,-0.969441,-0.107115,12972.24,0.000,,0.839006,Urban excl.,12.60,Nearest valid cell,20396.53,3,Direct,24.64,0.079626,Intermediate Volcanic,142,Sport and leisure facilities,1,1,3,5,,7,3.304274,Low,3.304691,0.059842,1.811,3.147991,3.466592,100.0,-3,Cold spot with 99% confidence
SITE_0048,1,Necropolis of Apollonia II,Burgas,Sozopol,0,,0,,0,,0,,1,Thracian mound,0,,0,,0,,0,,Earthwork (earthen burial mound),3,Mostly subsurface,,Architectural-Historical Reserve,7.893,8.534,0.923130,-0.058308,12628.92,0.000,,0.839006,Urban excl.,12.60,Nearest valid cell,19776.45,4,Direct,23.04,0.079626,Intermediate Volcanic,523,Sea and ocean,1,1,3,7,,7,3.576002,Low,3.577655,0.066164,1.849,3.394420,3.772123,100.0,-3,Cold spot with 99% confidence
SITE_0049,1,Necropolis of Apollonia III,Burgas,Sozopol,0,,0,,0,,0,,1,Thracian mound,0,,0,,0,,0,,Earthwork (earthen burial mound),3,Mostly subsurface,,Architectural-Historical Reserve,31.041,2.346,0.227718,-0.390263,14377.61,0.000,,0.839006,Urban excl.,12.60,Nearest valid cell,21234.99,4,Direct,108.29,0.079626,Intermediate Volcanic,142,Sport and leisure facilities,1,1,3,7,,7,3.576002,Low,3.577655,0.066164,1.849,3.394420,3.772123,100.0,-3,Cold spot with 99% confidence
SITE_0050,1,Sozopolis Southern Complex,Burgas,Sozopol,0,,0,,0,,0,,1,Sanctuary,0,,1,Fortified settlement,1,Church,0,,Mortared mixed masonry (stone + brick),1,Exposed,,,18.846,10.427,-0.853906,-0.379886,12672.36,0.000,,0.839006,Urban excl.,12.60,Nearest valid cell,18248.73,,NoData>400m,487.95,0.079626,Intermediate Volcanic,112,Discontinuous urban fabric,1,1,3,,,3,2.176432,Low,2.176228,0.032312,1.485,2.085866,2.254815,100.0,-3,Cold spot with 99% confidence
SITE_0051,1,Sozopolis Southern Fortification,Burgas,Sozopol,0,,0,,0,,0,,1,Sanctuary,0,,1,Fortified settlement,0,,0,,Mortared stone masonry,1,Exposed,,,14.234,17.880,-0.337623,0.878080,12494.49,0.000,,0.839006,Urban excl.,12.60,Nearest valid cell,18197.64,4,Near≤400m,318.04,0.079626,Intermediate Volcanic,112,Discontinuous urban fabric,1,1,3,7,,1,2.459670,Low,2.463044,0.048036,1.950,2.330931,2.588695,100.0,-3,Cold spot with 99% confidence
